,X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
156,2,4,sep,sat,93.4,145.4,721.4,8.1,28.6,27,2.2,0.0,1.61
181,8,6,oct,mon,84.9,32.8,664.2,3.0,19.1,32,4.0,0.0,5.44
188,6,4,mar,sat,90.8,41.9,89.4,7.9,13.3,42,0.9,0.0,7.4
197,4,5,sep,thu,92.9,137.0,706.4,9.2,21.5,15,0.9,0.0,11.06
488,4,4,aug,tue,95.1,141.3,605.8,17.7,19.4,71,7.6,0.0,46.7
449,7,4,aug,sun,91.6,181.3,613.0,7.6,19.3,61,4.9,0.0,0.0
387,5,5,mar,thu,90.9,18.9,30.6,8.0,11.6,48,5.4,0.0,0.0
255,2,5,aug,thu,87.5,77.0,694.8,5.0,22.3,46,4.0,0.0,0.0
466,6,5,mar,mon,87.2,15.1,36.9,7.1,10.2,45,5.8,0.0,3.18
367,4,5,sep,tue,91.1,132.3,812.1,12.5,16.4,27,3.6,0.0,0.0
233,9,4,sep,tue,84.4,73.4,671.9,3.2,24.3,36,3.1,0.0,105.66
92,8,6,aug,sun,92.3,85.3,488.0,14.7,20.8,32,6.3,0.0,0.0
421,2,4,aug,wed,95.2,217.7,690.0,18.0,30.8,19,4.5,0.0,0.0
96,3,4,feb,sat,83.9,8.0,30.2,2.6,12.7,48,1.8,0.0,0.0
416,6,3,jul,tue,92.7,164.1,575.8,8.9,26.3,39,3.1,0.0,7.02
289,7,4,jul,sat,91.6,104.2,474.9,9.0,24.3,30,1.8,0.0,0.0
3,8,6,mar,fri,91.7,33.3,77.5,9.0,8.3,97,4.0,0.2,0.0
221,3,4,sep,fri,93.3,141.2,713.9,13.9,18.6,49,3.6,0.0,35.88
322,6,5,sep,thu,92.8,119.0,783.5,7.5,16.8,28,4.0,0.0,1.01
457,1,4,aug,wed,91.7,191.4,635.9,7.8,19.9,50,4.0,0.0,82.75
306,7,4,sep,sun,89.6,84.1,714.3,5.7,17.1,53,5.4,0.0,0.41
30,6,3,sep,fri,94.3,85.1,692.3,15.9,25.4,24,3.6,0.0,0.0
467,3,4,mar,wed,90.2,18.5,41.1,7.3,11.2,41,5.4,0.0,5.55
314,4,4,sep,wed,92.6,115.4,777.1,8.8,19.7,41,1.8,0.0,1.58
42,4,4,aug,tue,94.8,108.3,647.1,17.0,16.6,54,5.4,0.0,0.0
29,6,3,sep,sun,93.5,149.3,728.6,8.1,22.8,39,3.6,0.0,0.0
31,6,3,sep,mon,88.6,91.8,709.9,7.1,11.2,78,7.6,0.0,0.0
118,3,4,mar,mon,90.1,39.7,86.6,6.2,10.6,30,4.0,0.0,0.0
13,6,5,sep,mon,90.9,126.5,686.5,7.0,21.3,42,2.2,0.0,0.0
9,7,5,sep,sat,92.5,88.0,698.6,7.1,22.8,40,4.0,0.0,0.0
385,2,4,aug,sun,91.6,181.3,613.0,7.6,20.9,50,2.2,0.0,16.0
223,2,2,jul,fri,88.3,150.3,309.9,6.8,13.4,79,3.6,0.0,37.02
53,4,3,aug,wed,92.1,111.2,654.1,9.6,20.4,42,4.9,0.0,0.0
6,8,6,aug,mon,92.3,88.9,495.6,8.5,24.1,27,3.1,0.0,0.0
152,3,4,jul,sat,90.1,51.2,424.1,6.2,24.6,43,1.8,0.0,1.43
170,5,4,sep,wed,92.9,133.3,699.6,9.2,21.9,35,1.8,0.0,2.57
290,2,5,jul,sat,91.6,104.2,474.9,9.0,18.7,53,1.8,0.0,0.0
44,4,4,sep,wed,90.1,82.9,735.7,6.2,12.9,74,4.9,0.0,0.0
431,1,3,aug,sat,92.1,178.0,605.3,9.6,23.3,40,4.0,0.0,6.36
486,5,4,aug,tue,95.1,141.3,605.8,17.7,24.1,43,6.3,0.0,2.0
339,2,4,sep,mon,91.6,108.4,764.0,6.2,20.4,41,1.8,0.0,1.47
81,1,2,aug,sun,90.2,99.6,631.2,6.3,17.9,44,2.2,0.0,0.0
283,3,4,feb,wed,86.9,6.6,18.7,3.2,8.8,35,3.1,0.0,1.1
245,3,4,aug,sun,91.8,175.1,700.7,13.8,26.8,38,6.3,0.0,0.76
516,6,3,nov,tue,79.5,3.0,106.7,1.1,11.8,31,4.5,0.0,0.0
225,4,4,sep,sun,93.5,149.3,728.6,8.1,22.9,39,4.9,0.0,48.55
355,4,4,sep,fri,92.1,99.0,745.3,9.6,20.8,35,4.9,0.0,13.06
313,6,5,sep,wed,92.6,115.4,777.1,8.8,24.3,27,4.9,0.0,0.0
133,4,6,sep,thu,93.7,80.9,685.2,17.9,17.6,42,3.1,0.0,0.0
422,8,6,jul,sun,88.9,263.1,795.9,5.2,29.3,27,3.6,0.0,6.3
345,2,2,sep,mon,91.5,130.1,807.1,7.5,16.8,43,3.1,0.0,5.83
66,2,2,sep,fri,92.4,117.9,668.0,12.2,23.0,37,4.5,0.0,0.0
214,4,4,mar,sat,91.7,35.8,80.8,7.8,17.0,27,4.9,0.0,28.66
381,8,6,aug,thu,90.7,194.1,643.0,6.8,16.2,63,2.7,0.0,16.33
349,5,4,sep,fri,92.1,99.0,745.3,9.6,12.8,64,3.6,0.0,1.64
97,3,4,mar,sat,69.0,2.4,15.5,0.7,17.4,24,5.4,0.0,0.0
86,1,2,sep,thu,92.9,137.0,706.4,9.2,25.4,27,2.2,0.0,0.0
114,3,4,mar,tue,88.1,25.7,67.6,3.8,15.8,27,7.6,0.0,0.0
67,2,2,sep,fri,92.4,117.9,668.0,12.2,19.6,33,5.4,0.0,0.0
232,6,4,sep,tue,91.0,129.5,692.6,7.0,18.7,43,2.7,0.0,103.39
499,7,5,aug,tue,96.1,181.1,671.2,14.3,27.3,63,4.9,6.4,10.82
307,3,4,sep,sun,89.6,84.1,714.3,5.7,23.8,35,3.6,0.0,5.18
205,4,5,sep,thu,92.9,137.0,706.4,9.2,22.1,34,1.8,0.0,14.57
10,7,5,sep,sat,92.5,88.0,698.6,7.1,17.8,51,7.2,0.0,0.0
368,6,5,sep,sat,91.2,94.3,744.4,8.4,16.8,47,4.9,0.0,12.64
492,1,3,aug,fri,95.9,158.0,633.6,11.3,32.4,27,2.2,0.0,0.0
343,8,6,sep,mon,91.5,130.1,807.1,7.5,15.9,51,4.5,0.0,2.18
141,1,2,aug,wed,95.5,99.9,513.3,13.2,23.3,31,4.5,0.0,0.55
401,3,4,sep,thu,91.1,88.2,731.7,8.3,22.8,46,4.0,0.0,4.95
222,4,3,mar,mon,87.6,52.2,103.8,5.0,11.0,46,5.8,0.0,36.85
11,7,5,sep,sat,92.8,73.2,713.0,22.6,19.3,38,4.0,0.0,0.0
333,1,4,sep,mon,92.1,87.7,721.1,9.5,18.1,54,3.1,0.0,2.13
51,4,3,aug,sun,90.2,99.6,631.2,6.3,21.5,34,2.2,0.0,0.0
135,3,5,aug,sat,93.5,139.4,594.2,20.3,17.6,52,5.8,0.0,0.0
340,2,5,sep,mon,91.6,108.4,764.0,6.2,19.3,44,2.2,0.0,3.93
75,9,9,feb,thu,84.2,6.8,26.6,7.7,6.7,79,3.1,0.0,0.0
472,8,3,jun,mon,88.2,96.2,229.0,4.7,14.3,79,4.0,0.0,1.94
174,1,4,aug,sat,90.2,96.9,624.2,8.9,14.2,53,1.8,0.0,3.5
305,1,4,sep,sun,89.6,84.1,714.3,5.7,19.0,52,2.2,0.0,0.0
85,1,2,sep,thu,92.9,137.0,706.4,9.2,21.5,15,0.9,0.0,0.0
161,6,4,aug,thu,95.2,131.7,578.8,10.4,20.3,41,4.0,0.0,1.9
136,3,6,sep,sun,92.4,124.1,680.7,8.5,17.2,58,1.3,0.0,0.0
55,4,3,sep,thu,92.9,137.0,706.4,9.2,27.7,24,2.2,0.0,0.0
338,8,6,sep,mon,91.6,108.4,764.0,6.2,22.7,35,2.2,0.0,7.48
342,6,3,sep,mon,91.5,130.1,807.1,7.5,20.6,37,1.8,0.0,0.0
274,8,6,dec,wed,84.0,27.8,354.6,5.3,5.1,61,8.0,0.0,11.19
242,2,4,aug,sun,94.2,122.3,589.9,12.9,15.4,66,4.0,0.0,10.13
149,8,6,sep,thu,93.7,80.9,685.2,17.9,23.7,25,4.5,0.0,1.12
34,6,3,sep,mon,91.8,78.5,724.3,9.2,21.2,32,2.7,0.0,0.0
275,4,6,dec,thu,84.6,26.4,352.0,2.0,5.1,61,4.9,0.0,5.38
259,7,4,aug,sat,91.8,170.9,692.3,13.7,23.7,40,1.8,0.0,1.38
379,4,5,jan,sun,18.7,1.1,171.4,0.0,5.2,100,0.9,0.0,0.0
159,7,4,sep,fri,92.4,117.9,668.0,12.2,19.0,34,5.8,0.0,1.69
445,5,5,aug,sun,94.0,47.9,100.7,10.7,17.3,80,4.5,0.0,0.0
187,1,5,sep,mon,90.9,126.5,686.5,7.0,21.0,42,2.2,0.0,7.3
284,5,4,feb,fri,85.2,4.9,15.8,6.3,7.5,46,8.0,0.0,24.24
224,7,4,sep,wed,90.1,82.9,735.7,6.2,15.4,57,4.5,0.0,37.71
184,8,6,aug,fri,93.9,135.7,586.7,15.1,20.8,34,4.9,0.0,6.96
189,7,4,mar,sun,90.7,44.0,92.4,5.5,11.5,60,4.0,0.0,8.24
78,1,2,aug,fri,90.1,108.0,529.8,12.5,14.7,66,2.7,0.0,0.0
417,6,5,mar,wed,93.4,17.3,28.3,9.9,13.8,24,5.8,0.0,0.0
383,9,6,aug,thu,91.6,248.4,753.8,6.3,20.5,58,2.7,0.0,42.87
208,6,5,sep,fri,92.4,117.9,668.0,12.2,19.6,33,6.3,0.0,19.23
165,6,5,mar,thu,84.9,18.2,55.0,3.0,5.3,70,4.5,0.0,2.14
425,2,2,aug,thu,91.6,248.4,753.8,6.3,20.4,56,2.2,0.0,0.0
253,7,4,aug,thu,91.9,109.2,565.5,8.0,21.4,38,2.7,0.0,1.52
191,2,5,aug,thu,95.2,131.7,578.8,10.4,24.2,28,2.7,0.0,8.68
308,2,4,sep,sun,92.4,105.8,758.1,9.9,16.0,45,1.8,0.0,0.0
236,2,2,sep,sat,92.5,121.1,674.4,8.6,18.2,46,1.8,0.0,200.94
331,7,4,sep,sat,91.2,124.4,795.3,8.5,21.5,28,4.5,0.0,15.64
371,3,4,jul,wed,91.9,133.6,520.5,8.0,14.2,58,4.0,0.0,0.0
316,4,5,sep,thu,92.4,96.2,739.4,8.6,18.6,24,5.8,0.0,0.0
469,6,3,apr,sun,91.0,14.6,25.6,12.3,13.7,33,9.4,0.0,61.13
436,8,6,aug,mon,92.1,207.0,672.6,8.2,26.8,35,1.3,0.0,0.54
507,2,4,aug,fri,91.0,166.9,752.6,7.1,25.9,41,3.6,0.0,0.0
230,4,4,sep,wed,92.9,133.3,699.6,9.2,26.4,21,4.5,0.0,88.49
84,1,2,aug,thu,91.7,114.3,661.3,6.3,20.2,45,3.6,0.0,0.0
115,3,5,mar,tue,88.1,25.7,67.6,3.8,15.5,27,6.3,0.0,0.0
140,2,5,sep,mon,90.9,126.5,686.5,7.0,21.9,39,1.8,0.0,0.47
219,6,5,mar,mon,90.1,39.7,86.6,6.2,15.2,27,3.1,0.0,31.86
123,3,4,sep,tue,84.4,73.4,671.9,3.2,17.9,45,3.1,0.0,0.0
335,4,3,sep,mon,91.6,108.4,764.0,6.2,9.8,86,1.8,0.0,0.0
39,4,4,mar,tue,88.1,25.7,67.6,3.8,14.1,43,2.7,0.0,0.0
163,8,6,sep,sat,92.5,121.1,674.4,8.6,17.8,56,1.8,0.0,1.95
83,1,2,aug,wed,92.1,111.2,654.1,9.6,16.6,47,0.9,0.0,0.0
257,4,3,aug,sat,94.2,117.2,581.1,11.0,21.4,44,2.7,0.0,0.68
458,8,6,aug,sat,93.7,231.1,715.1,8.4,18.9,64,4.9,0.0,3.32
270,2,2,aug,tue,92.1,152.6,658.2,14.3,21.8,56,3.1,0.0,0.52
147,8,3,sep,tue,84.4,73.4,671.9,3.2,24.2,28,3.6,0.0,0.96
460,2,5,aug,sat,93.7,231.1,715.1,8.4,18.9,64,4.9,0.0,0.0
310,7,4,sep,sun,92.4,105.8,758.1,9.9,25.3,27,2.7,0.0,0.0
297,8,6,jun,sun,90.4,89.5,290.8,6.4,15.4,45,2.2,0.0,0.0
328,6,5,sep,sat,92.2,102.3,751.5,8.4,19.7,35,1.8,0.0,0.0
56,4,3,sep,tue,90.3,80.7,730.2,6.3,17.8,63,4.9,0.0,0.0
437,8,6,aug,sat,89.4,253.6,768.4,9.7,14.2,73,2.7,0.0,0.0
443,1,2,jul,fri,90.7,80.9,368.3,16.8,14.8,78,8.0,0.0,0.0
451,1,4,aug,fri,90.5,196.8,649.9,16.3,11.8,88,4.9,0.0,9.71
302,3,6,jun,fri,91.1,94.1,232.1,7.1,19.2,38,4.5,0.0,0.0
354,7,4,sep,fri,92.1,99.0,745.3,9.6,18.7,50,2.2,0.0,5.97
293,7,6,jul,tue,93.1,180.4,430.8,11.0,26.9,28,5.4,0.0,86.45
398,1,2,aug,sat,93.7,231.1,715.1,8.4,25.9,32,3.1,0.0,0.0
112,3,4,sep,sun,89.7,90.0,704.4,4.8,22.8,39,3.6,0.0,0.0
239,7,5,apr,sun,81.9,3.0,7.9,3.5,13.4,75,1.8,0.0,0.0
324,6,5,sep,thu,88.1,53.3,726.9,5.4,13.7,56,1.8,0.0,4.42
228,4,6,sep,sun,93.5,149.3,728.6,8.1,28.3,26,3.1,0.0,64.1
186,8,6,mar,sun,89.3,51.3,102.2,9.6,11.5,39,5.8,0.0,7.19
110,4,4,mar,fri,85.9,19.5,57.3,2.8,13.7,43,5.8,0.0,0.0
113,3,4,sep,mon,91.8,78.5,724.3,9.2,18.9,35,2.7,0.0,0.0
508,1,2,aug,fri,91.0,166.9,752.6,7.1,25.9,41,3.6,0.0,0.0
329,4,3,sep,sat,92.2,102.3,751.5,8.4,23.5,27,4.0,0.0,3.33
510,6,5,aug,fri,91.0,166.9,752.6,7.1,18.2,62,5.4,0.0,0.43
38,7,3,oct,sat,90.6,43.7,686.9,6.7,17.8,27,4.0,0.0,0.0
89,6,5,mar,sat,91.7,35.8,80.8,7.8,17.4,25,4.9,0.0,0.0
503,2,4,aug,wed,94.5,139.4,689.1,20.0,29.2,30,4.9,0.0,1.95
182,5,4,feb,sun,86.8,15.6,48.3,3.9,12.4,53,2.2,0.0,6.38
180,1,3,sep,sun,92.4,124.1,680.7,8.5,23.9,32,6.7,0.0,5.33
